"Time","PDP PDP Latency","RAN RAN Latency","Total Total Latency"
1723030081200,4.948,9.982,14.93
1723030082880,4.856,10.373,15.229
1723030084580,5.058,10.605,15.663
1723030086160,4.752,10.263,15.015
1723030087940,4.921,9.892,14.812999999999999
1723030089580,4.735,10.506,15.241
1723030091340,4.908,10.464,15.372
1723030093300,4.967,10.108,15.075
1723030095100,4.783,10.253,15.036000000000001
1723030096800,5.016,10.258,15.274
1723030098600,4.905,10.484,15.389
1723030100460,4.951,10.346,15.297
1723030102180,5.09,10.163,15.253
1723030103800,5.035,10.031,15.066
1723030105400,5.006,10.022,15.028
1723030106980,5.004,10.474,15.478
1723030108600,4.95,10.047,14.997
1723030110280,5.004,10.245,15.248999999999999
1723030111920,5.076,10.19,15.265999999999998
1723030113500,4.948,10.14,15.088000000000001
1723030115040,4.928,10.108,15.036000000000001
1723030116640,51.707,10.243,61.95
1723030118840,0.626,10.35,10.975999999999999
1723030120480,0.635,9.878,10.513
1723030122120,0.574,9.819,10.393
1723030123660,0.631,10.492,11.123000000000001
1723030125300,0.677,10.148,10.825
1723030126960,0.554,10.049,10.603
1723030128520,0.651,9.842,10.493
1723030130080,0.692,10.208,10.9
1723030131740,0.661,10.771,11.432
1723030133340,0.641,10.44,11.081
1723030134880,0.62,10.157,10.777
1723030136300,0.712,10.022,10.734
1723030137980,0.721,10.072,10.793
1723030139660,0.653,10.059,10.712